hop,date,match_date,from,to,tournament,round,score,result,source,corrob,year,same_day,source_disagree,non_played,early_era
133,19710808,1971-08-08,Cliff Drysdale,Ken Rosewall,Boston WCT,F,6-4 6-3 6-0,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
134,19710810,1971-08-10,Ken Rosewall,John Newcombe,Montreal / Toronto,SF,7-6 6-2,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
135,19710827,1971-08-27,John Newcombe,Rod Laver,Hilton Head,F,6-2 6-4,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
136,19711010,1971-10-10,Rod Laver,Tom Okker,Vancouver WCT,SF,5-7 6-4 6-3,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
137,19711010,1971-10-10,Tom Okker,Ken Rosewall,Vancouver WCT,F,6-2 6-2 6-4,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
138,19711017,1971-10-17,Ken Rosewall,Cliff Drysdale,Cologne WCT,QF,6-4 6-3,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
139,19711017,1971-10-17,Cliff Drysdale,Jeff Borowiak,Cologne WCT,SF,3-6 7-5 7-5,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
140,19711017,1971-10-17,Jeff Borowiak,Bob Lutz,Cologne WCT,F,6-3 6-7 6-3 6-1,PLAYED,backbone,S,1971,FALSE,TRUE,FALSE,TRUE
141,19711018,1971-10-18,Bob Lutz,Manuel Orantes,Barcelona WCT,F,6-4 6-3 6-4,PLAYED,backbone,S,1971,FALSE,TRUE,FALSE,TRUE
142,19720122,1972-01-22,Manuel Orantes,Gerald Battrick,London Indoor,R16,6-4 6-4,PLAYED,backbone,S+DH+UTS,1972,FALSE,FALSE,FALSE,TRUE
143,19720122,1972-01-22,Gerald Battrick,Ilie Nastase,London Indoor,QF,7-5 6-4,PLAYED,backbone,S+DH+UTS,1972,FALSE,FALSE,FALSE,TRUE
144,19720122,1972-01-22,Ilie Nastase,Clark Graebner,London Indoor,SF,6-3 RET,RET,backbone,S+DH+UTS,1972,FALSE,FALSE,TRUE,TRUE
